feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,CD1a_pmol,CD1b_pmol,CD1c_pmol,CD1d_pmol
PC O-16:1;0/16:1;0,PC O-,GPL,MEM,32,2,0,8.24612045288086,4.680170059,237.67399597168,44.23199844
PC O-16:2;0/16:0;0,PC O-,GPL,MEM,32,2,0,0.534024000167847,0.141094998,9.35682964324951,0.616321027
PC O-17:1;0/15:1;0,PC O-,GPL,MEM,32,2,0,NA,0.0443548,NA,0.184540004
PC O-17:2;0/15:0;0,PC O-,GPL,MEM,32,2,0,NA,NA,NA,0.315521002
PC O-18:1;0/14:1;0,PC O-,GPL,MEM,32,2,0,NA,NA,NA,0.069228798
PC O-18:2;0/14:0;0,PC O-,GPL,MEM,32,2,0,0.108994998037815,0.066011898,2.90806007385254,0.771260977
PC O-16:1;0/16:2;0,PC O-,GPL,MEM,32,3,0,NA,0.111602001,0.810824990272522,0.267841011
PC O-16:2;0/16:1;0,PC O-,GPL,MEM,32,3,0,1.31543004512787,0.399803996,21.9080009460449,1.896029949
PC O-16:0;0/17:0;0,PC O-,GPL,MEM,33,0,0,NA,NA,0.90851902961731,NA
PC O-17:0;0/16:0;0,PC O-,GPL,MEM,33,0,0,NA,0.530216992,8.07400989532471,2.578380108
PC O-18:0;0/15:0;0,PC O-,GPL,MEM,33,0,0,NA,NA,0.401183009147644,0.373681009
PC O-16:0;0/17:1;0,PC O-,GPL,MEM,33,1,0,0.0221030991524458,0.0232662,0.253441989421844,0.141539007
PC O-16:1;0/17:0;0,PC O-,GPL,MEM,33,1,0,0.0139030003920197,0.130597994,0.270069986581802,0.139255002
PC O-17:0;0/16:1;0,PC O-,GPL,MEM,33,1,0,1.96198999881744,0.804804981,20.7450008392334,5.448550224
